architecture,suite,reproducible,sha256,build_time_seconds,timestamp,serial
"amd64","trixie",true,"f2945891e6d120cce0a5d9da4359a11f62d2c43d5fc681193df5b71df158bdee",94,"2026-02-15T01:08:49Z","20260202"
"amd64","bookworm",true,"82594bbceab737504fefbf847fe3ac4ed870a72b284c694683b8fe81ce787b82",98,"2026-02-15T01:08:49Z","20260202"
"i386","bookworm",true,"1d1a021f0891028896d1b35439b8d827c880929e46a9ea92efc1ff0b6955a063",145,"2026-02-15T01:08:49Z","20260202"
"i386","trixie",true,"88ae549dfb7adbb75a4a70de0e1f18b64de4e167df23d7b1402c04a46d084d8b",145,"2026-02-15T01:08:49Z","20260202"
"arm64","bookworm",true,"18cc7ec2023b5e789d28399495a436340a4ef001bb00d59b638a25b6e662be72",118,"2026-02-15T01:08:49Z","20260202"
"arm64","trixie",true,"80ec42067977b42be4fb37d5278744d5ff22d99f8e6a6383098561c4cf1942ec",105,"2026-02-15T01:08:49Z","20260202"
"ppc64el","trixie",true,"9195fd0ff3d80e88d5bb43c82338977b9429defd5d2bdcce7b9e7929be430454",562,"2026-02-15T01:08:49Z","20260202"
"ppc64el","bookworm",true,"0ab4a9889f7ccd93e9dd448567a3e94f814fffff67a3ebbfaf26396ee393b138",604,"2026-02-15T01:08:49Z","20260202"
"armhf","trixie",true,"2d3610a75b910ea8bc6f22ce26bae8fd2805293b1f94c8181cd64e889b40db50",123,"2026-02-15T01:08:49Z","20260202"
"armhf","bookworm",true,"c57063d1d84915cd57d8b29cef14351d37c55c450f281c773cd1145e09e1f39a",127,"2026-02-15T01:08:49Z","20260202"
